table_size,position,effective_stack_bb,street,hand_key,board_texture_key,action_history_key,action,size_bb,probability,source,notes
9,BTN,100,preflop,AKs,none,RFI,fold,,0.0,Upswing_Open_Ranges,heuristic sample row
9,BTN,100,preflop,AKs,none,RFI,raise,,100.0,Upswing_Open_Ranges,heuristic sample row
9,BTN,100,preflop,AKs,none,RFI,raise,2.5,70.0,Upswing_Open_Ranges,heuristic sample row
9,BTN,100,preflop,AKs,none,RFI,raise,3.0,30.0,Upswing_Open_Ranges,heuristic sample row
9,BTN,100,preflop,72o,none,RFI,fold,,95.0,Upswing_Open_Ranges,heuristic sample row
9,BTN,100,preflop,72o,none,RFI,raise,,5.0,Upswing_Open_Ranges,heuristic sample row
9,BTN,100,preflop,72o,none,RFI,raise,2.5,5.0,Upswing_Open_Ranges,heuristic sample row
9,BB,100,preflop,AQs,none,preflop:raise_2.5bb-hero_to_act,fold,,5.0,Upswing_Defend_Ranges,heuristic sample row
9,BB,100,preflop,AQs,none,preflop:raise_2.5bb-hero_to_act,call,,70.0,Upswing_Defend_Ranges,heuristic sample row
9,BB,100,preflop,AQs,none,preflop:raise_2.5bb-hero_to_act,raise,,25.0,Upswing_Defend_Ranges,heuristic sample row
9,BB,100,preflop,AQs,none,preflop:raise_2.5bb-hero_to_act,raise,9.0,18.0,Upswing_Defend_Ranges,heuristic sample row
9,BB,100,preflop,AQs,none,preflop:raise_2.5bb-hero_to_act,raise,12.0,7.0,Upswing_Defend_Ranges,heuristic sample row
9,UTG,100,preflop,AA,none,RFI,fold,,0.0,Jonathan_Little_Open_Ranges,heuristic sample row
9,UTG,100,preflop,AA,none,RFI,raise,,100.0,Jonathan_Little_Open_Ranges,heuristic sample row
9,UTG,100,preflop,AA,none,RFI,raise,2.5,100.0,Jonathan_Little_Open_Ranges,heuristic sample row
6,BTN,100,preflop,KTs,none,RFI,fold,,15.0,Upswing_Open_Ranges,heuristic sample row
6,BTN,100,preflop,KTs,none,RFI,raise,,85.0,Upswing_Open_Ranges,heuristic sample row
6,BTN,100,preflop,KTs,none,RFI,raise,2.5,85.0,Upswing_Open_Ranges,heuristic sample row
9,BTN,100,flop,AhKh,broadway_high|unpaired|rainbow|disconnected|1,BTN_vs_BB_SRP_cbet,check,,36.0,Manual_Texture_Cbet,heuristic sample row
9,BTN,100,flop,AhKh,broadway_high|unpaired|rainbow|disconnected|1,BTN_vs_BB_SRP_cbet,bet,,64.0,Manual_Texture_Cbet,heuristic sample row
9,BTN,100,flop,AhKh,broadway_high|unpaired|rainbow|disconnected|1,BTN_vs_BB_SRP_cbet,bet,1.8,40.0,Manual_Texture_Cbet,heuristic sample row
9,BTN,100,flop,AhKh,broadway_high|unpaired|rainbow|disconnected|1,BTN_vs_BB_SRP_cbet,bet,3.5,24.0,Manual_Texture_Cbet,heuristic sample row
9,BTN,100,flop,AhKh,middle_high|unpaired|two_tone|connected|0,BTN_vs_BB_SRP_cbet,check,,72.0,Manual_Texture_Cbet,heuristic sample row
9,BTN,100,flop,AhKh,middle_high|unpaired|two_tone|connected|0,BTN_vs_BB_SRP_cbet,bet,,28.0,Manual_Texture_Cbet,heuristic sample row
9,BTN,100,flop,AhKh,middle_high|unpaired|two_tone|connected|0,BTN_vs_BB_SRP_cbet,bet,1.8,18.0,Manual_Texture_Cbet,heuristic sample row
9,BTN,100,flop,AhKh,middle_high|unpaired|two_tone|connected|0,BTN_vs_BB_SRP_cbet,bet,3.5,10.0,Manual_Texture_Cbet,heuristic sample row
9,BB,100,flop,AdJs,broadway_high|unpaired|rainbow|disconnected|1,BB_vs_BTN_SRP_vs_cbet,fold,,30.0,Manual_Texture_Defense,heuristic sample row
9,BB,100,flop,AdJs,broadway_high|unpaired|rainbow|disconnected|1,BB_vs_BTN_SRP_vs_cbet,call,,55.0,Manual_Texture_Defense,heuristic sample row
9,BB,100,flop,AdJs,broadway_high|unpaired|rainbow|disconnected|1,BB_vs_BTN_SRP_vs_cbet,raise,,15.0,Manual_Texture_Defense,heuristic sample row
9,BB,100,flop,AdJs,broadway_high|unpaired|rainbow|disconnected|1,BB_vs_BTN_SRP_vs_cbet,raise,6.0,15.0,Manual_Texture_Defense,heuristic sample row
