table_size,position,effective_stack_bb,street,hand_key,board_texture_key,action_history_key,action,size_bb,probability,source,notes
9,UTG1,100,preflop,AA,none,preflop:raise_2.5bb-hero_to_act,raise,9.0,100.0,vs_Open_Ranges_9max,vs_open_label=vs_ep
9,UTG1,100,preflop,AKs,none,preflop:raise_2.5bb-hero_to_act,raise,9.0,100.0,vs_Open_Ranges_9max,vs_open_label=vs_ep
9,UTG1,100,preflop,AQs,none,preflop:raise_2.5bb-hero_to_act,raise,9.0,100.0,vs_Open_Ranges_9max,vs_open_label=vs_ep
9,UTG1,100,preflop,AJs,none,preflop:raise_2.5bb-hero_to_act,fold,,100.0,vs_Open_Ranges_9max,vs_open_label=vs_ep
9,UTG1,100,preflop,ATs,none,preflop:raise_2.5bb-hero_to_act,fold,,100.0,vs_Open_Ranges_9max,vs_open_label=vs_ep
9,UTG1,100,preflop,A9s,none,preflop:raise_2.5bb-hero_to_act,fold,,100.0,vs_Open_Ranges_9max,vs_open_label=vs_ep
9,UTG1,100,preflop,A8s,none,preflop:raise_2.5bb-hero_to_act,fold,,100.0,vs_Open_Ranges_9max,vs_open_label=vs_ep
9,UTG1,100,preflop,A7s,none,preflop:raise_2.5bb-hero_to_act,fold,,100.0,vs_Open_Ranges_9max,vs_open_label=vs_ep
9,UTG1,100,preflop,A6s,none,preflop:raise_2.5bb-hero_to_act,fold,,100.0,vs_Open_Ranges_9max,vs_open_label=vs_ep
9,UTG1,100,preflop,A5s,none,preflop:raise_2.5bb-hero_to_act,fold,,100.0,vs_Open_Ranges_9max,vs_open_label=vs_ep
9,UTG1,100,preflop,A4s,none,preflop:raise_2.5bb-hero_to_act,fold,,100.0,vs_Open_Ranges_9max,vs_open_label=vs_ep
9,UTG1,100,preflop,A3s,none,preflop:raise_2.5bb-hero_to_act,fold,,100.0,vs_Open_Ranges_9max,vs_open_label=vs_ep
9,UTG1,100,preflop,A2s,none,preflop:raise_2.5bb-hero_to_act,fold,,100.0,vs_Open_Ranges_9max,vs_open_label=vs_ep
9,UTG1,100,preflop,AKo,none,preflop:raise_2.5bb-hero_to_act,raise,9.0,100.0,vs_Open_Ranges_9max,vs_open_label=vs_ep
